id,sepal lengthCm,sepal widthCm,petallengthCm,petal widthCm,species
393,5,3.9,6.3,1.4,Lathyrus ochroleucus Hook.
876,4.3,4,3.5,0.4,Coffea arabica L.
162,5.8,3,3.7,0.8,Pholisma sonorae (Torr. ex A. Gray) Yatsk.
42,6.7,4.3,2.9,1.7,Psilocarphus Nutt.
125,6.9,3.7,1.7,2,Umbilicaria aprina Nyl.
808,6.5,2.4,5.4,2.3,Ranunculus trilobus Desf.
933,4.1,2.7,2.9,0.3,Bruchia vogesiaca Nestl. ex Schwägr.
570,5,3.3,4.4,0.8,Phacelia gymnoclada Torr. ex S. Watson
848,5.8,2.9,3.4,1.6,Glyceria pulchella (Nash) K. Schum.
307,4.1,4,6.2,2.1,Bartramia ithyphylla Brid.
932,7.6,2.2,3.1,2.2,Anemone caroliniana Walter
658,6.4,4.3,3,0.3,Phacelia glandulosa Nutt.
68,6.9,3.2,6.6,2.3,Lesquerella sessilis (S. Watson) Small
857,4.5,2.4,3,0.2,Eriogonum ovalifolium Nutt. var. vineum (Small) Jeps.
38,6.3,2.3,3.4,0.6,Auerodendron Urb.
948,6.1,2.5,4.1,1.6,Anthemis secundiramea Biv.
994,4.4,4,4,1.5,Allium geyeri S. Watson var. chatterleyi S.L. Welsh
101,6.6,3.4,2.1,0.8,Melaleuca L.
386,7.1,2.9,4.6,0.2,Melica smithii (Porter ex A. Gray) Vasey
925,7.6,2.7,2,1.4,Oxytropis campestris (L.) DC. var. spicata Hook.
968,6.4,3.5,3,2.3,Jasminum mesnyi Hance
340,7.4,3,6.5,2.1,Hypogymnia farinacea Zopf
319,4.1,3.4,4.6,1.7,Caesalpinia divergens Urb.
913,4.7,4.2,6.1,1.5,Camellia sinensis (L.) Kuntze
160,5.3,4,6.8,1.9,Pyrenula falsaria (Zahlbr.) R.C. Harris
821,4.2,2.8,1.9,0.9,Xyris tennesseensis Kral
882,4.2,3.8,1.1,0.5,Brosimum alicastrum Sw. ssp. alicastrum
444,7.9,3,3.6,1.7,Sidalcea multifida Greene
469,6.7,3.5,5.9,0.7,Carex schottii Dewey
102,5.4,3.6,2.9,2.4,Mecardonia Ruiz & Pav.
747,4,2.9,6.1,2.1,Lupinus argenteus Pursh ssp. spathulatus (Rydb.) Hess & D. Dunn
229,6.9,2.1,1.2,0.9,Cyclamen L.
193,5.3,3.5,1.4,0.8,Pinellia ternata (Thunb.) Makino ex Breitenbach
821,6.9,3,4.6,2.2,Pyrrhospora quernea (Dicks.) Körb.
177,4.9,3.5,3.3,2.1,Caloplaca cerina (Ehrh. ex Hedwig) Th. Fr.
833,6.4,3.9,1.1,2.3,Iris giganticaerulea Small
883,6.4,3,2.1,0.1,Lessingia nemaclada Greene var. nemaclada
408,5.3,3.5,1.2,0.8,Plantago princeps Cham. & Schltdl. var. princeps
88,4.7,3.6,1.9,1.5,Clitoria falcata Lam.
356,4.7,2.4,5.1,1.2,Crataegus spatiosa Sarg.
410,5.1,2.5,1.8,2,Balsamorhiza hookeri (Hook.) Nutt. var. lagocephala (Sharp) Cronquist
401,5.8,2.2,3,0.6,Leioderma Nyl.
568,4.2,2.5,4.9,1.8,Betula alleghaniensis Britton var. macrolepis (Fernald) Brayshaw
750,7.3,2.5,4.2,2.3,Usnea longissima Ach.
11,4.4,2.8,3.1,1,Dianella caerulea Sims
428,4.7,3.9,5.9,0.1,Lecanora elmorei E.D. Rudolph
839,6.9,2.6,1.7,0.9,Ludwigia simpsonii Chapm.
574,6.2,2.5,2,1.3,Schistophragma intermedia (A. Gray) Pennell
689,5.1,3,3.1,1.9,Lyellia aspera (I. Hagen & C.E.O. Jensen) Frye
586,7.5,3.3,3.6,1.7,Polygonum polycnemoides Jaubert & Spach
536,5.1,4.1,6.4,0.9,Lesquerella occidentalis S. Watson ssp. cinerascens (Maguire & A.H. Holmgren) Rollins & Shaw
46,5.4,2.7,6.1,2.2,Sisyrinchium elmeri Greene
96,5.1,3.8,5.3,0.2,Krigia caespitosa (Raf.) K.L. Chambers
13,5.1,4.1,1.2,0.7,Hypocenomyce M. Choisy
320,6.4,2.4,3.8,1.2,Caloplaca adnexa Vezda
296,7.4,3.1,3.6,1,Ranunculus sardous Crantz
279,5.1,3.9,3.2,0.9,Ramalina almquistii Vain.
675,4.5,3.6,3.5,0.6,Symphyotrichum praealtum (Poir.) G.L. Nesom
221,5.9,2.1,5.8,2.4,Galium serpenticum Dempster ssp. serpenticum
642,4.9,2.3,5.5,1.8,Coronopus Zinn
231,4.5,3.8,1.6,1.2,Lecidea ementiens Nyl.
629,4.8,4.2,2.9,1.8,Vitis rotundifolia Michx. var. munsoniana (Simpson ex Munson) M.O. Moore
793,5.1,2.8,2.3,0.8,Oxytropis nigrescens (Pall.) Fisch. ex DC. var. nigrescens
186,5.1,3.6,4.9,1.7,Chiococca P. Br.
177,7.1,2.5,1.7,2.3,Cyperus grayi Torr.
151,5.9,3,2.8,0.6,Verrucaria cataleptoides (Nyl.) Nyl.
878,7.6,4,3,1.3,Galium oreganum Britton
791,7.8,4,2.7,0.8,Rinodina minutissima de Lesd.
176,6.3,3.2,6.3,1.5,Gluta renghas L.
953,6.3,2.4,5.9,0.4,Pandanus tomilensis Kaneh.
760,5.7,3.8,3.9,0.9,Tephrosia noctiflora Bojer ex Baker
714,4.1,4.1,4.3,2.5,Dimelaena weberi Sheard
485,6.1,4.1,3.2,0.9,Metrosideros polymorpha Gaudich. var. dieteri J.W. Dawson & Stemmermann
226,4.8,2.4,1.5,1.4,Zigadenus venenosus S. Watson var. venenosus
147,5.4,3.5,2.8,1,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson
950,4.1,3.8,2.9,1.1,Tillandsia bartramii × fasciculata [unnamed hybrid]
907,6.2,3.7,3.5,1.7,Aspicilia aliena (Zahlbr.) Oksner
235,6,2.9,3.4,2.4,Cannabis sativa L.
617,4.7,3.3,1.8,2,Erigeron acomanus Spellenb. & P. Knight
440,6.6,3.8,6.3,2.3,Lithospermum caroliniense (Walter ex J.F. Gmel.) MacMill.
579,5.7,3.5,2.9,0.9,Myrtus communis L.
306,7,2.7,5.9,1.7,Schizaea fluminensis Miers ex Sturm
956,7.6,3.6,3.5,0.4,Cylindropuntia ×congesta (Griffiths) Pinkava (pro sp.)
782,5,2.4,2.9,1.1,Adenophorus Gaudich.
347,4.6,3.9,4.5,1.8,Spiranthes laciniata (Small) Ames
937,4.2,3.1,2.3,2,Geum rivale L.
513,6.3,4,1.8,0.4,Saxifraga bryophora A. Gray var. bryophora
230,4.4,4,5.2,0.7,Lactuca hirsuta Muhl. ex Nutt. var. sanguinea (Bigelow) Fernald
329,5.1,4.1,4.4,0.9,Antennaria media Greene
697,7.8,2.2,3.5,1.8,Thelypteris cordata (Fée) Proctor
310,4.6,2.4,3,0.5,Ayenia pilosa Cristobal
823,7.7,3,2,1,Fontinalis flaccida Renauld & Cardot
220,7.8,3.8,1.5,0.3,Turnera diffusa Willd. ex Schult. var. aphrodisiaca (G.H. Ward) Urb.
527,6.1,2.7,4.6,2.4,Berberis darwinii Hook.
328,6.6,2.1,1.8,0.3,Smelowskia calycina (Stephan ex Willd.) C.A. Mey.
889,5.5,3.5,6.7,2.5,Triumfetta rhomboidea Jacq.
670,4.5,3.2,4.1,1.4,Calliergon cordifolium (Hedw.) Kindb.
474,4.4,2.9,5.6,1.2,Stephanomeria fluminea Gottlieb
847,4.3,3.5,2,0.4,Malephora crocea (Jacq.) Schwant.
939,7.6,2.6,2.3,1.1,Lychnis chalcedonica L.
406,7,2.4,4.7,2.1,Sclerocactus mesae-verdae (Boissev. & C. Davidson) L.D. Benson
159,5.5,3,1.1,0.8,Asclepias asperula (Decne.) Woodson ssp. capricornu (Woodson) Woodson
964,4.3,2.3,4.3,1.2,Muhlenbergia jonesii (Vasey) Hitchc.
23,4.2,3.4,4.5,0.3,Ocimum tenuiflorum L.
747,5.7,3.8,1.3,1.5,Symphyotrichum dumosum (L.) G.L. Nesom var. subulifolium (Torr. & A. Gray) G.L. Nesom
442,5.6,2.9,3.1,1.2,Ampelopsis Michx.
867,4.8,4,1.2,2.2,Melanelia glabra (Schaerer) Essl.
875,4.3,3.5,6,1,Scirpoides Ség.
235,6.2,2.3,2.7,2.2,Psora russellii (Tuck.) A. Schneid.
385,6.4,4.1,5.5,0.7,Crataegus spatiosa Sarg.
226,7.7,2.7,4.1,1.3,Polygonum bistorta L. var. bistorta
909,7.8,2.1,3.6,1.6,Brassica parachinensis L.H. Bailey
745,4.5,4.1,5.1,1.5,Dalea neomexicana (A. Gray) Cory var. neomexicana
588,4.3,3.5,2.8,2,Croton nummulariifolius A. Rich.
216,5.5,2.6,4.7,1.7,Rhododendron occidentale (Torr. & A. Gray) A. Gray var. occidentale
422,7.9,2.8,2.4,0.5,Chamaebatiaria millefolium (Torr.) Maxim.
512,6.1,4.2,3.2,1.5,Philodendron imbe Schott ex Endl.
723,4.5,2.6,2.2,1.1,Tetraneuris argentea (A. Gray) Greene
490,6.3,2.9,1.9,0.7,Rubus tomentosus Borkh. var. canescens Wirtg.
573,7.2,2.2,3.3,0.7,Aristolochia trilobata L.
113,4.2,3.3,2.3,1.4,Neoparrya lithophila Mathias
171,4.2,4,4.2,1.4,Bartramia halleriana Hedw.
780,7.7,2.7,2.2,1.7,Wolffia globosa (Roxb.) Hartog & Plas
431,6.9,3.8,6.9,1.5,Cyrtandra ×waihoiensis H. St. John
251,5.2,2,5.1,0.5,Liatris pycnostachya Michx.
66,5.6,3.6,3,0.2,Camissonia guadalupensis (S. Watson) P.H. Raven ssp. clementina (P.H. Raven) P.H. Raven
176,5.2,3.6,6.9,1.8,Valerianella florifera Shinners
151,7.6,2.9,4.8,1.3,Styrax platanifolius Engelm. ssp. platanifolius
517,7.2,3.7,2.5,1.7,Trichodon cylindricus (Hedw.) Schimp. var. oblongus (Lindb.) Podp.
863,7.4,2.3,6.2,1.4,Nicotiana obtusifolia M. Martens & Galeotti var. obtusifolia
861,4.4,2.7,6.3,0.1,Hypogymnia oceanica Goward
423,5.1,2.8,2.3,0.5,Porotrichum vancouveriense (Kindb.) H.A. Crum
262,7.5,3.2,2.1,0.4,Lantana reticulata Pers.
560,4.4,4,2,1.7,Hygrophila R. Br.
701,5.8,2.7,1.7,0.7,Urvillea Kunth
132,7.6,3.2,2.3,1.5,Hesperolinon micranthum (A. Gray) Small
401,6.7,2.8,6.6,1.4,Suaeda taxifolia (Standl.) Standl.
76,7.1,3.2,1.3,0.3,Cystopteris Bernh.
874,6.7,2.4,3,1.6,Cladonia atlantica A. Evans
833,6.3,4,5,1.1,Boschniakia hookeri Walp.
215,6.2,2.5,5.5,1.4,Oenothera pallida Lindl. ssp. runcinata (Engelm.) Munz & W. Klein
948,5.7,3.2,4.8,0.1,Perideridia howellii (J.M. Coult. & Rose) Mathias
844,4.2,4.2,4,0.5,Carex ×subimpressa Clokey (pro sp.)
158,4.8,3.4,5.6,2.1,Carex lucorum Willd. ex Link var. austrolucorum J. Rettig
324,7.9,4.1,4.9,0.3,Thelypteris angustifolia (Willd.) Proctor
563,6.8,3.3,5.2,1.6,Allium canadense L. var. lavandulare (Bates) Ownbey & Aase
307,4.1,2.2,5.6,1.2,Myrcia citrifolia (Aubl.) Urb.
409,7.1,4,4.4,0.2,Entosthodon californicus (Sull. & Lesq.) H.A. Crum & L.E. Anderson
515,7.3,4.3,4.6,0.5,Collema auriforme (With.) Coppins & J.R. Laundon
549,4.8,4.1,3,2.2,Clermontia calophylla E. Wimm.
313,4.2,3.7,2,2.3,Asplenium insiticium Brack.
131,4.2,2.4,1.4,0.9,Equisetum scirpoides Michx.
900,6.8,2.4,4.3,1.9,Sagittaria graminea Michx. var. chapmanii J.G. Sm.
591,4.6,3,1.8,1.4,Halophila Thouars
652,4.4,2.5,3.8,1.1,Monardella villosa Benth. ssp. globosa (Greene) Jokerst
395,5.8,2.5,4.6,1.4,Usnea subfloridana Stirt.
589,4.3,3.6,5.4,1.9,Carex pluriflora Hultén
830,7.3,4.2,3.5,0.7,Thladiantha Bunge
671,7.8,3.1,4,1.7,Clematis occidentalis (Hornem.) DC.
155,6,2,5.7,0.2,Scabrethia W.A. Weber
825,4.8,2.9,6.8,0.6,Rubus clarus L.H. Bailey
579,4.9,2.2,6.9,0.1,Broussonetia papyrifera (L.) L'Hér. ex Vent.
412,5.9,2.8,3.9,2.4,Phaseolus filiformis Benth.
507,7.5,2.6,5.4,1.9,Beta nana Boiss. & Heldr.
588,7.1,2.6,1.5,1.6,Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa
353,4.4,4.4,3.8,0.3,Helenium autumnale L. var. grandiflorum (Nutt.) Torr. & A. Gray
845,5.5,2.2,6.3,1.3,Chrysophyllum cainito L.
102,5.9,3.3,3.1,1,Ligularia dentata (A. Gray) H. Hara
522,6.8,2.4,4.5,0.4,Pennellia longifolia (Benth.) Rollins
85,6.9,2.2,1.6,2.1,Salvia subincisa Benth.
242,6.4,3.1,3.6,1.4,Gagea villosa (M. Bieb.) Duby
621,5.1,2.7,4.4,0.3,Lomatium quintuplex Schlessman & Constance
623,5.9,3.6,2.4,1.3,Oxalis intermedia A. Rich.
677,5.3,2.9,6.4,0.3,Leymus salinus (M.E. Jones) Á. Löve
103,4.6,3,2,1.8,Scirpus cyperinus (L.) Kunth
113,5.5,4.2,3.1,2.1,Lecanora confusa Almb.
417,4.9,3.1,3,1.6,Salsola tragus L.
780,6.5,2.7,4.4,1.7,Dicranella lindigiana (Hampe) Mitt.
168,4.5,2.5,3.8,1.9,Ardisia solanacea Roxb.
851,7.3,2.8,3.3,0.2,Campyloneurum latum T. Moore
239,6.1,3.8,4.3,1.7,Primula cusickiana (A. Gray) A. Gray var. nevadensis (N.H. Holmgren) N.H. Holmgren & S. Kelso
347,7,2.8,3,1,Phlox multiflora A. Nelson ssp. patula (A. Nelson) Wherry
959,7.3,3.2,5,0.8,Evolvulus nuttallianus Schult.
137,4.3,2.9,1.2,2.1,Gaillardia aestivalis (Walter) H. Rock var. austrotexana B.L. Turner
351,6.8,2.9,5.3,1.6,Clarkia rhomboidea Douglas ex Hook.
884,5.3,4.1,6.7,0.4,Corallorhiza bentleyi Freudenstein
51,5.8,3.7,2.4,2.5,Linanthus demissus (A. Gray) Greene
137,5.5,3.1,5,0.7,Randia aculeata L.
741,6.2,4.1,3.1,0.2,Lindernia grandiflora Nutt.
318,6.2,4.1,6.7,1.4,Ipomoea setosa Ker Gawl.
974,4.5,2.7,5.2,2,Boschniakia C.A. Mey. ex Bong.
559,4.6,4.2,2.3,1.3,Caloplaca agratum (Vain.) Zahlbr.
981,5.7,3.7,2.1,2.4,Rubus trivialis Michx.
465,5.4,3.3,6.8,0.9,Antirhea sintenisii Urb.
54,4.7,2.8,3.2,1.4,Eriodictyon capitatum Eastw.
469,5.8,2.5,3.3,0.5,Plantago aristata Michx.
275,7.3,3.9,4.2,1,Caloplaca verruculifera (Vain.) Zahlbr.
732,5.7,2.6,1.1,1.9,Centratherum punctatum Cass.
990,4.7,2.9,1.7,0.3,Vallisneria gigantea Graebn.
136,5.8,3.5,3.3,1.2,Penstemon discolor D.D. Keck
290,5.3,3.1,4.6,1.2,Ranunculus platensis Spreng.
173,5.4,2,1.2,0.7,Teramnus uncinatus (L.) Sw.
614,7.1,2.5,2.1,1,Potentilla glandulosa Lindl. ssp. ashlandica (Greene) D.D. Keck
947,7.6,2,1.6,1.4,Caragana aurantiaca Koehne
487,7.9,2.7,1.3,1.1,Crataegus sargentii Beadle
488,7,2.6,2.1,1,Astragalus wrightii A. Gray
838,7.6,3.2,4.3,1.2,Gunnera petaloidea Gaudich.
72,6.4,2.9,6.2,0.9,Lycoris radiata (L'Hér.) Herb.
596,5.8,2.8,6.1,2.4,Abildgaardia ovata (Burm. f.) Kral
209,5.9,3.5,5.4,2.4,Rumex ×confusus Simonkai
352,5,2.7,2.8,2,Porophyllum ruderale (Jacq.) Cass.
657,5.6,3.6,3.6,0.8,Porocyphus kenmorensis (Holl ex Nyl.) Henssen
851,7.3,2.2,1.6,1.8,Fragaria vesca L. ssp. vesca
469,7.7,3.2,5.8,1.3,Carex brunnescens (Pers.) Poir.
933,7.1,3,6.1,2.2,Plaubelia Brid.
999,4.2,3.6,2.9,0.3,Urtica dioica L. ssp. gracilis (Aiton) Seland.
888,5,3.2,1.1,1.9,Solanum seaforthianum Andrews
983,7.1,2.5,5.5,2.2,Cyanea maritae Lammers & H. Oppenh.
849,6,3.1,2.1,1.1,Mucronea californica Benth.
759,6.5,2.8,5.1,2.3,Erigeron pumilus Nutt. ssp. pumilus
420,5,2.1,5.4,2.2,Lithospermum latifolium Michx.
95,6.1,2.2,3.5,1.7,Medicago lupulina L.
553,7,3.6,6.7,1.1,Eriogonum greggii Torr. & A. Gray
251,7,3.5,4,0.5,Lupinus argenteus Pursh ssp. argenteus
11,7.8,3.5,2.7,0.2,Fraxinus albicans Buckley
131,7.3,3.8,5,1.7,Carex crebriflora Wiegand
211,4.5,3.1,2,2.1,Actinostachys pennula (Sw.) Hook.
331,7.2,4.4,4.2,0.8,Heuchera alba Rydb.
726,6.2,3.2,3.7,0.4,Carex lenticularis Michx. var. lenticularis
138,4.2,4.4,3.2,0.3,Peperomia glabella (Sw.) A. Dietr.
847,5.2,2.8,5.2,2.5,"Moenchia erecta (L.) G. Gaertn., B. Mey. & Scherb."
428,4.2,3.9,6.8,2,Pohlia sphagnicola (Bruch & Schimp.) Broth.
814,6.2,2.2,2.3,1.8,Miconia affinis DC.
298,4.7,2.5,4.2,1.7,Eriophorum russeolum Fr. ex Hartm.
145,5.6,4.3,1.5,1.7,Artocarpus heterophyllus Lam.
110,4.2,4.1,2.7,2.4,Viola helenae Forbes & Lydgate
692,5.7,2.2,2.9,0.8,Cladium colocasia (L.) W. Wight
468,5.2,4.1,6.6,1.1,Calicium viride Pers.
878,5.9,3.1,3.8,1.2,Penstemon diphyllus Rydb.
415,4.3,2.3,1.8,2,Spiranthes ×intermedia Ames
404,5.2,2,6.8,0.5,Ludwigia octovalvis (Jacq.) P.H. Raven ssp. sessiliflora (Micheli) P.H. Raven
833,7.8,3.1,2.8,1.5,Desmanthus virgatus (L.) Willd.
523,5.9,3.3,6.3,1.3,Hyperphyscia adglutinata (Flörke) H. Mayrh. & Poelt
626,6.1,4,1.4,2.1,Cyperus sanguinolentus Vahl
304,5.2,2.2,2.6,2.4,Phlox mollis Wherry
495,7.4,3.9,3.9,2.2,Neckeropsis Reichardt
289,7.8,2.8,6.2,2.1,Eriocaulon longifolium Nees ex Kunth
590,4.1,4.2,3.9,0.6,Dichanthelium acuminatum (Sw.) Gould & C.A. Clark
392,7.5,4.3,6.4,0.9,Ptilagrostis kingii (Bol.) Barkworth
134,5.7,2.3,6.4,0.1,Artemisia furcata M. Bieb. var. furcata
682,7.3,2.4,4.8,0.1,Sphagnum mendocinum Sull. & Lesq.
931,4.8,3.9,2.7,0.8,Piriqueta cistoides (L.) Griseb. ssp. cistoides
293,5.5,2.5,6,1.2,Salix bicolor Fr.
969,7.1,3.5,6.2,0.5,Pottia bryoides (Dicks.) Mitt.
595,5.9,3.6,3.7,0.9,Thelypodium flexuosum B.L. Rob.
721,7.8,2.5,4.9,2.4,Sisyrinchium iridifolium Kunth
289,7.8,2.7,4.2,1.6,Perovskia Kar.
281,7,2.8,4,1.6,Poa stebbinsii Soreng
573,4.4,4.1,6.3,1.6,Festuca sororia Piper
792,4.5,2.9,2.3,0.4,Horkelia californica Cham. & Schltdl. ssp. dissita (Crum) Ertter
984,4.7,3.6,4.8,2.4,Grindelia nana Nutt.
356,4.6,4.1,1.9,2.4,Agalinis maritima (Raf.) Raf.
426,4.3,3.2,3.1,0.3,Quercus lobata Née
496,5.3,3.4,1,1.7,Proserpinaca palustris L. var. amblyogona Fernald
38,4.4,4.2,3.5,2.3,Agave parryi Engelm. ssp. parryi
415,4.8,2.7,2.5,2.4,Pseudocrossidium hornschuchianum (Schultz) R.H. Zander
284,7.1,3.2,2,0.9,Arthopyrenia planorbis (Ach.) Müll. Arg.
906,6.2,2.2,6.1,2,Urochloa distachya (L.) T.Q. Nguyen
554,6.4,3.1,4.1,0.4,Cryptantha clevelandii Greene var. florosa I.M. Johnst.
723,4.4,3.4,3.1,1.3,Peccania arizonica (Tuck.) Herre
386,7.8,2.1,1.6,1.1,"Miconia lanata (DC.) Triana, nom. inq."
34,7.4,2.4,4.8,1.3,Draba breweri S. Watson var. cana (Rydb.) Rollins
803,5.1,3.8,2.7,0.7,Liatris ohlingerae (S.F. Blake) B.L. Rob.
932,4.2,2.3,6.2,2.3,Sphagnum tenerum Sull. & Lesq.
178,6.1,2.4,1.3,1.7,Phoradendron leucarpum (Raf.) Reveal & M.C. Johnst.
902,7.5,4,4.8,0.2,Agropyron cristatum (L.) Gaertn.
509,6.9,3.7,6.5,0.7,Erythrodes hirtella (Sw.) Fawc. & Rendle
112,7.7,3.4,3.2,0.8,Rosa ×harisonii Rivers
577,6.3,2.1,1.1,1.7,Pedicularis bracteosa Benth. var. bracteosa
452,7.8,2,3.4,0.3,Phacelia brachyloba (Benth.) A. Gray
30,6.4,3,2.8,1.7,Pediomelum esculentum (Pursh) Rydb.
615,7.1,2.5,3,2.1,Hyptis americana (Poit.) Briq.
85,4.2,2.5,1.9,0.2,Myosoton aquaticum (L.) Moench
271,6.8,3.2,5.7,1.2,Astragalus zionis M.E. Jones var. zionis
499,5.2,3.7,4.1,1.4,Abronia nana S. Watson var. nana
898,5.7,2.5,4.8,1.4,Erigeron peregrinus (Banks ex Pursh) Greene ssp. peregrinus var. dawsonii Greene
69,7.1,3.3,5.8,1.8,Sapindus saponaria L. var. saponaria
251,5.8,3.4,5,1.4,Daucus carota L. var. sativus Hoffm.
492,7.2,3.7,4.4,2.2,Sabatia campestris Nutt.
337,5.8,4.1,1.3,0.6,Saxifraga oppositifolia L.
707,6,2.8,4.1,2.3,Platythelys sagraeanus (A. Rich.) Garay
580,5.3,2.3,1.1,2.4,Townsendia jonesii (Beaman) Reveal
81,5.5,2.5,3.4,1.2,Veronica serpyllifolia L. ssp. humifusa (Dicks.) Syme
441,4,3.7,1.9,1.5,Fuchsia L.
913,4.4,4,5.3,2.1,Perityle rupestris (A. Gray) Shinners var. rupestris
379,7.5,3.8,2.1,1.6,Achnatherum nelsonii (Scribn.) Barkworth ssp. dorei (Barkworth & Maze) Barkworth
650,6.2,3.1,4.2,0.2,Logfia californica (Nutt.) Holub
237,6.2,3.5,1.5,0.7,Excoecaria agallocha L.
742,6.4,2.9,4.5,1,Arthonia rubella (Fée) Nyl.
442,4.5,2.6,5.1,1.3,Lepidium dictyotum A. Gray var. dictyotum
961,5.4,3.6,4.5,2.4,Cleomella brevipes S. Watson
585,4.1,3.1,6.6,2,Heuchera pilosissima Fisch. & C.A. Mey. var. pilosissima
584,4.4,2.5,4.3,2.3,Limnocharis Humb. & Bonpl.
876,4.8,3,1.2,1.5,Horkelia bolanderi A. Gray
480,5,2,2.1,2.3,Hesperocyparis arizonica (Greene) Bartel
327,6.3,4,1.2,2.4,Clathroporina Müll. Arg.
752,6,2,1.3,0.6,Euonymus nanus M. Bieb.
348,4.8,4.4,1.2,0.6,Ionactis elegans (Soreng & Spellenb.) G.L. Nesom
218,6.3,3.6,4.7,1,Viola ×subaffinis House
901,4.3,2.3,2.8,2.1,Pennisetum glaucum (L.) R. Br.
507,6.3,3.2,1.1,0.7,Hypericum tetrapetalum Lam.
985,7.3,2.6,1.8,1.3,Balsamorhiza hookeri (Hook.) Nutt. var. hirsuta (Nutt.) A. Nelson
378,6.2,4.3,5.4,2.3,Agrostis elliottiana Schult.
806,6.1,3.3,2.4,0.8,Brachypodium P. Beauv.
809,7.4,3.1,5.5,1.1,Opuntia sanguinea Proctor
899,7.4,4.3,5.6,1,Castilleja lanata A. Gray ssp. hololeuca (Greene) T.I. Chuang & Heckard
206,7.4,4.4,2.2,0.9,Pharus parvifolius Nash
904,5.8,3.5,5.2,0.5,Physostegia ledinghamii (B. Boivin) Cantino
480,5.7,2.3,3.9,1.2,Tetraplasandra oahuensis (A. Gray) Harms
442,4.5,3.5,2.9,2.4,Thymophylla pentachaeta (DC.) Small var. belenidium (DC.) Strother
352,5.2,2.3,1.7,2,Roellia roellii (Broth.) Andrews ex H.A. Crum
677,5.5,4,4.5,0.2,Penstemon caespitosus Nutt. ex A. Gray var. perbrevis (Pennell) N.H. Holmgren
894,4.8,3.1,3.7,1.6,Hypericum ascyron L.
206,5.2,4,2.4,1.3,Aliciella hutchinsifolia (Rydb.) J.M. Porter
746,4.4,4,2.2,1.9,Draba aleutica Ekman ex Hultén
979,6.3,3.9,5.8,0.7,Nesoluma polynesicum (Hillebr.) Baill.
233,5.8,2.2,4.9,1.5,Rubus alaskensis L.H. Bailey
374,5.3,3.2,6.2,1.8,×Dupoa J. Cay. & S.J. Darbyshire
262,6.1,3.5,3.9,0.3,Elymus ×yukonensis (Scribn. & Merr.) Á. Löve (pro sp.)
212,5.9,2.1,1.4,1.3,Vulpia octoflora (Walter) Rydb. var. hirtella (Piper) Henr.
751,5.1,3.2,5.8,0.3,Rhexia virginica L.
953,5.9,3.8,6.4,1.3,Acalypha gracilens A. Gray
161,4.5,2,1.9,0.7,Dryas integrifolia Vahl ssp. integrifolia
421,4,2.5,2.6,0.4,Rhynchosia swartzii (Vail) Urb.
62,7,2.5,3.4,1.2,Polystichum hillebrandii Carruthers
219,7.1,2.2,3.4,0.3,Eriogonum exilifolium Reveal
193,6,4,1.9,0.5,Chamaesyce skottsbergii (Sherff) Croizat & O. Deg.
167,7.5,3.7,1.9,0.3,Lomatium tarantuloides Darrach & Hinchliff
404,7.9,2.9,2.7,0.4,Lecidoma demissum (Rutstr.) Gotth. Schneid. & Hertel
551,4.1,3.1,1.7,1,Clusia minor L.
951,5.3,4.2,3.2,1.6,Castilla ulei Warb.
997,7,3.5,3.2,0.3,Diospyros hillebrandii (Seem.) Fosberg
610,6.8,2.7,2.1,1.7,Cassia grandis L. f.
322,6.2,4.1,5.7,0.9,Dichaetophora campestris A. Gray
960,5,2.3,1.7,2.2,"Festuca arvernensis Auquier, Kerguélen & Markgr.-Dannenb."
42,7.6,3.3,5.3,1.8,Bryum pyriferum Crundw. & H. Whitehouse
773,4.2,2.8,6.2,0.2,Cladonia P. Browne
772,7.7,2.8,6.1,0.5,Danthonia epilis Scribn.
377,4.1,2.8,4.8,0.9,Saxifraga hirculus L.
362,5.1,2.7,2.7,2.5,Ribes oxyacanthoides L. ssp. setosum (Lindl.) Sinnott
55,4.9,3.1,2.4,1.4,Ribes inerme Rydb. var. inerme
209,5.5,2.1,2.6,0.6,Malus angustifolia (Aiton) Michx. var. puberula Rehder
498,5.8,2.9,1,2.1,Mimulus hymenophyllus R.J. Meinke
899,6.4,4.2,2.2,1,Lasiacis grisebachii (Nash) Hitchc.
112,5,2.6,5,2,Astragalus iodopetalus (Rydb.) Barneby
606,5.3,3.8,4.8,2,Sporopodium Mont.
627,4.3,4.3,6.2,2.4,Gaudinia P. Beauv.
898,7.2,2.9,6.3,1.9,Malacothrix squalida Greene
10,7,3.8,2.3,0.9,Tetraneuris ivesiana Greene
658,6.2,3.1,4.7,0.8,Lythrum thymifolia L.
415,5.9,3.1,3.4,0.5,Escobaria vivipara (Nutt.) Buxbaum var. radiosa (Engelm.) D.R. Hunt
489,7.2,3.1,1.4,2.3,Lupinus congdonii (C.P. Sm.) D. Dunn
650,4.9,2.3,5.5,2.5,Melaleuca uncinata R. Br.
936,4.6,2.8,2.1,0.7,Phyllopsora confusa Swinscow & Krog
807,4.2,4.2,3.6,2.3,Logfia Cass.
40,6.5,4.3,6.1,2.2,Penstemon ophianthus Pennell
